time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:08:15.849581975,145,0,gnss_link,1,1,55.86728091769118,37.69103120022651,150.20692436676472,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:16.73808925,145,100000000,gnss_link,1,1,55.867280821675344,37.69102961311882,150.20708198472857,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:16.317375430,145,200000000,gnss_link,1,1,55.86728072650658,37.691028025840595,150.20703505259007,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:16.527802005,145,300000000,gnss_link,1,1,55.86728063206047,37.691026438140774,150.20704445894808,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:16.735964199,145,400000000,gnss_link,1,1,55.86728053656162,37.691024850795785,150.20702812541276,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:16.947954568,145,500000000,gnss_link,1,1,55.86728044116142,37.6910232634242,150.2070000367239,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:17.153967512,145,600000000,gnss_link,1,1,55.867280346162,37.69102167602804,150.2070551160723,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:17.365431954,145,700000000,gnss_link,1,1,55.86728025130923,37.69102008862054,150.20701196230948,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:17.552477433,145,800000000,gnss_link,1,1,55.86728015627919,37.69101850124886,150.20710785873234,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:17.755548330,145,900000000,gnss_link,1,1,55.86728005993921,37.691016914048625,150.20678253937513,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:17.949694324,146,0,gnss_link,1,1,55.867279966137936,37.69101532647177,150.20698944013566,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:18.153340424,146,100000000,gnss_link,1,1,55.867279871016706,37.69101373920149,150.20706726145,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:18.354597315,146,200000000,gnss_link,1,1,55.86727977553872,37.69101215186087,150.20683809183538,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
