time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_header_stamp_secs,status_header_stamp_nsecs,status_header_frame_id,status_satellites_used,status_satellites_visible,status_status,status_motion_source,status_orientation_source,status_position_source,latitude,longitude,altitude,track,speed,climb,pitch,roll,dip,time,gdop,pdop,hdop,vdop,tdop,err,err_horz,err_vert,err_track,err_speed,err_climb,err_time,err_pitch,err_roll,err_dip,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:07:23.42120089,113,100000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1396394118516207,3.039151906095701e-12,-7.613423333085605e-14,0.0,0.0,0.0,2026/02/13 16:07:23.42120089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.148931335,113,200000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1347301302576094,2.9649327160082086e-12,-4.706110005812954e-14,0.0,0.0,0.0,2026/02/13 16:07:23.148931335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.262083492,113,300000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1347281995248273,2.964934930334436e-12,-4.704798233941384e-14,0.0,0.0,0.0,2026/02/13 16:07:23.262083492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.373722287,113,400000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1347288743554627,2.9649326364078557e-12,-4.705902506864345e-14,0.0,0.0,0.0,2026/02/13 16:07:23.373722287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.482877386,113,500000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394161665956446,3.0200742208580333e-12,-5.726474887102571e-14,0.0,0.0,0.0,2026/02/13 16:07:23.482877386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.679237441,113,600000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1396395560583676,3.0391496366560668e-12,-7.614665733365282e-14,0.0,0.0,0.0,2026/02/13 16:07:23.679237441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.794736485,113,700000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.134932632171307,3.0005067746362856e-12,-9.468685194794582e-14,0.0,0.0,0.0,2026/02/13 16:07:23.794736485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:23.902881936,113,800000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1347293877064693,2.964929599830528e-12,-4.706280824033435e-14,0.0,0.0,0.0,2026/02/13 16:07:23.902881936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:24.33191214,113,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.12743042805388,2.9974585587938237e-12,-4.309694243157156e-14,0.0,0.0,0.0,2026/02/13 16:07:24.33191214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:24.139466213,114,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1400853590991202,3.0084521202109047e-12,-1.0978329852876732e-13,0.0,0.0,0.0,2026/02/13 16:07:24.139466213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
